Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,5.030000,5.040000,4.750000,4.900000,4.720626,60763600
2022-04-29,5.060000,5.120000,5.030000,5.040000,4.855501,42409400
2022-05-02,4.970000,5.140000,4.960000,5.130000,4.962886,56168800
2022-05-03,5.140000,5.280000,5.130000,5.230000,5.059628,46478000
2022-05-04,5.190000,5.340000,5.160000,5.330000,5.156370,28011200
2022-05-05,5.180000,5.220000,5.070000,5.110000,4.943537,45501500
2022-05-06,5.040000,5.050000,4.930000,4.960000,4.798423,42865200
2022-05-09,4.850000,4.890000,4.760000,4.780000,4.624287,38416100
2022-05-10,4.840000,4.860000,4.730000,4.810000,4.653309,39593100
2022-05-11,4.800000,4.890000,4.690000,4.690000,4.537219,47786100
2022-05-12,4.630000,4.720000,4.580000,4.670000,4.517871,48509900
2022-05-13,4.790000,4.910000,4.790000,4.880000,4.721030,25335500
2022-05-16,4.880000,4.920000,4.840000,4.880000,4.721030,31238000
2022-05-17,4.960000,5.050000,4.950000,5.040000,4.875817,26692600
2022-05-18,5.000000,5.020000,4.830000,4.860000,4.701681,35275200
2022-05-19,4.770000,4.870000,4.730000,4.800000,4.643636,41833300
2022-05-20,4.880000,4.900000,4.720000,4.830000,4.672658,36037700
2022-05-23,4.880000,4.960000,4.840000,4.930000,4.769401,30988400
2022-05-24,4.900000,4.930000,4.860000,4.900000,4.740378,33970800
2022-05-25,4.880000,4.960000,4.860000,4.930000,4.769401,33097900
2022-05-26,4.940000,5.110000,4.940000,5.090000,4.924189,36661500
2022-05-27,5.100000,5.150000,5.070000,5.140000,4.972559,19403100
2022-05-31,5.040000,5.070000,4.990000,5.010000,4.846795,33552200
2022-06-01,5.010000,5.040000,4.920000,4.970000,4.808097,38040600
2022-06-02,4.990000,5.090000,4.960000,5.090000,4.924189,28923800
2022-06-03,5.030000,5.060000,5.000000,5.040000,4.875817,29687900
2022-06-06,5.060000,5.090000,4.990000,5.000000,4.837120,32119400
2022-06-07,4.990000,5.070000,4.960000,5.070000,4.904840,28128000
2022-06-08,5.010000,5.050000,4.990000,5.010000,4.846795,24280400
2022-06-09,4.950000,4.980000,4.850000,4.850000,4.692007,35493900
2022-06-10,4.740000,4.760000,4.680000,4.700000,4.546893,45863300
2022-06-13,4.630000,4.670000,4.560000,4.570000,4.421128,46380400
2022-06-14,4.760000,4.780000,4.630000,4.670000,4.517871,41501400
2022-06-15,4.710000,4.820000,4.660000,4.760000,4.604939,41937200
2022-06-16,4.620000,4.650000,4.560000,4.580000,4.430802,51041800
2022-06-17,4.650000,4.670000,4.550000,4.590000,4.440476,53596800
2022-06-21,4.730000,4.780000,4.700000,4.710000,4.556567,28100300
2022-06-22,4.680000,4.740000,4.670000,4.680000,4.527544,38534800
2022-06-23,4.640000,4.680000,4.580000,4.670000,4.517871,41369400
2022-06-24,4.690000,4.830000,4.680000,4.810000,4.653309,22890000
2022-06-27,4.840000,4.870000,4.780000,4.820000,4.662984,30702300
2022-06-28,4.840000,4.870000,4.740000,4.750000,4.595264,31195000
2022-06-29,4.760000,4.770000,4.680000,4.710000,4.556567,30976400
2022-06-30,4.600000,4.650000,4.550000,4.610000,4.459825,29242000
2022-07-01,4.610000,4.660000,4.540000,4.660000,4.508195,31178700
2022-07-05,4.470000,4.550000,4.410000,4.550000,4.401780,39648300
2022-07-06,4.510000,4.580000,4.480000,4.560000,4.411454,27760300
2022-07-07,4.580000,4.640000,4.570000,4.630000,4.479174,15795400
2022-07-08,4.610000,4.690000,4.590000,4.650000,4.498522,15861400
2022-07-11,4.590000,4.660000,4.580000,4.610000,4.459825,19140000
2022-07-12,4.600000,4.650000,4.560000,4.570000,4.421128,21726900
2022-07-13,4.520000,4.610000,4.510000,4.600000,4.450150,24229500
2022-07-14,4.440000,4.470000,4.370000,4.460000,4.314712,29844500
2022-07-15,4.530000,4.610000,4.500000,4.610000,4.459825,19344900
2022-07-18,4.630000,4.660000,4.560000,4.570000,4.421128,23160100
2022-07-19,4.570000,4.690000,4.560000,4.680000,4.527544,20809600
2022-07-20,4.680000,4.720000,4.640000,4.700000,4.546893,22249300
2022-07-21,4.970000,5.140000,4.960000,5.120000,4.953211,37441000
2022-07-22,5.090000,5.160000,5.080000,5.100000,4.933863,25884900
2022-07-25,5.120000,5.170000,5.080000,5.110000,4.943537,23800700
2022-07-26,5.080000,5.090000,5.030000,5.040000,4.875817,17309100
2022-07-27,5.120000,5.210000,5.100000,5.170000,5.001582,23703400
2022-07-28,5.150000,5.200000,5.130000,5.200000,5.030605,18611600
2022-07-29,5.190000,5.200000,5.150000,5.180000,5.011257,16225000
2022-08-01,5.220000,5.270000,5.190000,5.230000,5.059628,27484300
2022-08-02,5.170000,5.210000,5.150000,5.150000,4.982234,29076500
2022-08-03,5.170000,5.220000,5.150000,5.220000,5.049953,24190200
2022-08-04,5.210000,5.260000,5.200000,5.230000,5.059628,22341600
2022-08-05,5.150000,5.260000,5.140000,5.260000,5.088651,30402400
2022-08-08,5.220000,5.280000,5.180000,5.200000,5.030605,26467600
2022-08-09,5.180000,5.190000,5.070000,5.080000,4.914514,25100300
2022-08-10,5.200000,5.220000,5.160000,5.210000,5.040279,17977300
2022-08-11,5.210000,5.250000,5.190000,5.210000,5.040279,21254200
2022-08-12,5.170000,5.210000,5.160000,5.210000,5.040279,16518900
2022-08-15,5.100000,5.130000,5.060000,5.110000,4.943537,22269500
2022-08-16,5.100000,5.180000,5.090000,5.170000,5.001582,21870800
2022-08-17,5.120000,5.130000,5.020000,5.060000,4.895165,25897200
2022-08-18,5.070000,5.130000,5.040000,5.130000,4.962886,15329500
2022-08-19,5.050000,5.080000,5.000000,5.040000,4.875817,27616300
2022-08-22,4.950000,4.960000,4.910000,4.950000,4.788749,27471700
2022-08-23,4.910000,5.010000,4.910000,4.940000,4.779075,35087100
2022-08-24,4.910000,4.990000,4.900000,4.950000,4.788749,25349200
2022-08-25,4.980000,5.070000,4.970000,5.070000,4.904840,26456700
2022-08-26,5.020000,5.060000,4.870000,4.870000,4.711355,44135600
2022-08-29,4.820000,4.860000,4.800000,4.810000,4.653309,32945500
2022-08-30,4.860000,4.880000,4.790000,4.820000,4.662984,25572400
2022-08-31,5.040000,5.090000,5.030000,5.050000,4.885492,39526900
2022-09-01,5.000000,5.020000,4.910000,4.980000,4.817772,29130100
2022-09-02,5.050000,5.080000,4.920000,4.930000,4.769401,34458000
2022-09-06,4.970000,4.980000,4.880000,4.920000,4.759727,30641000
2022-09-07,4.940000,5.010000,4.910000,5.000000,4.837120,21416600
2022-09-08,4.920000,5.010000,4.900000,5.000000,4.837120,23650700
2022-09-09,5.050000,5.100000,5.040000,5.070000,4.904840,17638500
2022-09-12,5.140000,5.190000,5.110000,5.130000,4.962886,21401800
2022-09-13,5.070000,5.090000,4.960000,4.960000,4.798423,23910300
2022-09-14,4.940000,4.980000,4.890000,4.940000,4.779075,24689800
2022-09-15,4.910000,4.940000,4.860000,4.870000,4.711355,22873500
2022-09-16,4.730000,4.770000,4.590000,4.630000,4.479174,58161100
2022-09-19,4.550000,4.690000,4.550000,4.680000,4.527544,25387800
2022-09-20,4.580000,4.630000,4.560000,4.590000,4.440476,13963600
2022-09-21,4.550000,4.630000,4.500000,4.500000,4.353408,19343200
2022-09-22,4.490000,4.500000,4.420000,4.440000,4.295363,23289000
2022-09-23,4.290000,4.320000,4.220000,4.260000,4.121227,32212500
2022-09-26,4.240000,4.300000,4.200000,4.240000,4.101878,23056400
2022-09-27,4.290000,4.320000,4.190000,4.220000,4.082530,24358700
2022-09-28,4.260000,4.370000,4.240000,4.360000,4.217969,22930100
2022-09-29,4.280000,4.290000,4.210000,4.280000,4.140575,19736200
2022-09-30,4.260000,4.340000,4.260000,4.270000,4.130900,16814300
2022-10-03,4.360000,4.450000,4.330000,4.390000,4.246991,22992300
2022-10-04,4.540000,4.620000,4.530000,4.610000,4.459825,21365700
2022-10-05,4.540000,4.610000,4.510000,4.560000,4.411454,17768000
2022-10-06,4.510000,4.550000,4.480000,4.510000,4.363083,18371200
2022-10-07,4.440000,4.450000,4.390000,4.420000,4.276014,19125100
2022-10-10,4.410000,4.420000,4.320000,4.350000,4.208294,15831700
2022-10-11,4.360000,4.400000,4.290000,4.310000,4.169598,21482800
2022-10-12,4.370000,4.410000,4.350000,4.350000,4.208294,19241100
2022-10-13,4.360000,4.540000,4.320000,4.520000,4.372757,38366500
2022-10-14,4.550000,4.570000,4.430000,4.450000,4.305037,29990100
2022-10-17,4.610000,4.660000,4.560000,4.580000,4.430802,39444600
2022-10-18,4.720000,4.730000,4.620000,4.650000,4.498522,46038800
2022-10-19,4.610000,4.640000,4.530000,4.560000,4.411454,34254500
2022-10-20,4.230000,4.330000,4.080000,4.160000,4.024484,62443200
2022-10-21,4.140000,4.250000,4.130000,4.250000,4.111552,36983900
2022-10-24,4.280000,4.340000,4.240000,4.290000,4.169872,38255600
2022-10-25,4.340000,4.460000,4.320000,4.410000,4.286512,31484900
2022-10-26,4.410000,4.490000,4.410000,4.430000,4.305952,30466100
2022-10-27,4.460000,4.480000,4.360000,4.360000,4.237912,25420500
2022-10-28,4.400000,4.450000,4.360000,4.440000,4.315672,20281800
2022-10-31,4.380000,4.440000,4.370000,4.400000,4.276792,20751600
2022-11-01,4.440000,4.470000,4.390000,4.420000,4.296232,26239700
2022-11-02,4.400000,4.480000,4.330000,4.340000,4.218472,22668100
2022-11-03,4.280000,4.290000,4.220000,4.220000,4.101832,25378600
2022-11-04,4.340000,4.400000,4.300000,4.370000,4.247632,27027400
2022-11-07,4.380000,4.430000,4.360000,4.410000,4.286512,16964900
2022-11-08,4.490000,4.520000,4.420000,4.460000,4.335112,30153200
2022-11-09,4.440000,4.480000,4.380000,4.380000,4.257352,20954100
2022-11-10,4.560000,4.650000,4.520000,4.640000,4.510071,27145400
2022-11-11,4.660000,4.780000,4.640000,4.750000,4.616992,24509000
2022-11-14,4.740000,4.790000,4.720000,4.740000,4.607272,19614000
2022-11-15,4.810000,4.870000,4.750000,4.800000,4.665592,36392600
2022-11-16,4.790000,4.800000,4.700000,4.710000,4.578111,21253000
2022-11-17,4.640000,4.740000,4.640000,4.730000,4.597552,29736200
2022-11-18,4.800000,4.840000,4.780000,4.790000,4.655871,19713400
2022-11-21,4.710000,4.760000,4.700000,4.710000,4.578111,18587100
2022-11-22,4.730000,4.780000,4.730000,4.780000,4.646152,12850000
2022-11-23,4.790000,4.840000,4.780000,4.790000,4.655871,14094600
2022-11-25,4.810000,4.850000,4.800000,4.820000,4.685031,8939500
2022-11-28,4.790000,4.800000,4.690000,4.700000,4.568391,15059300
2022-11-29,4.700000,4.740000,4.680000,4.740000,4.607272,18886600
2022-11-30,4.760000,4.930000,4.730000,4.930000,4.791951,28737400
2022-12-01,5.000000,5.020000,4.970000,5.000000,4.859991,21165600
2022-12-02,5.000000,5.080000,5.000000,5.050000,4.908591,17839200
2022-12-05,4.990000,5.020000,4.930000,4.940000,4.801671,17868800
2022-12-06,4.930000,4.930000,4.840000,4.870000,4.733631,12124100
2022-12-07,4.830000,4.870000,4.790000,4.820000,4.685031,12609100
2022-12-08,4.790000,4.910000,4.780000,4.900000,4.762791,16289200
2022-12-09,4.930000,4.960000,4.880000,4.890000,4.753071,12798300
2022-12-12,4.880000,4.950000,4.840000,4.930000,4.791951,16219900
2022-12-13,5.100000,5.110000,4.960000,4.990000,4.850271,29738000
2022-12-14,4.960000,5.040000,4.950000,4.990000,4.850271,18442200
2022-12-15,4.930000,4.940000,4.790000,4.790000,4.655871,20198600
2022-12-16,4.650000,4.680000,4.590000,4.630000,4.500351,24790700
2022-12-19,4.650000,4.670000,4.580000,4.600000,4.471191,15722400
2022-12-20,4.580000,4.620000,4.580000,4.580000,4.451752,12170400
2022-12-21,4.600000,4.640000,4.580000,4.640000,4.510071,11778600
2022-12-22,4.600000,4.630000,4.550000,4.610000,4.480912,13842700
2022-12-23,4.600000,4.640000,4.590000,4.640000,4.510071,14380800
2022-12-27,4.620000,4.660000,4.600000,4.620000,4.490632,10887300
2022-12-28,4.600000,4.630000,4.560000,4.560000,4.432312,13125000
2022-12-29,4.610000,4.690000,4.600000,4.680000,4.548951,9429600
2022-12-30,4.630000,4.650000,4.600000,4.640000,4.510071,11284100
